Domain,W_Protocol,Status,Response Code
adm.dev.per.shinhancard.com,http://adm.dev.per.shinhancard.com,Connection Error,N/A
adm.per.shinhancard.com,http://adm.per.shinhancard.com,Connection Error,N/A
accommodations.auction.co.kr,https://accommodations.auction.co.kr,Success,200
a50759.naver.com,http://a50759.naver.com,Connection Error,N/A
addimage6.makeshop.co.kr,https://addimage6.makeshop.co.kr,Success,200
admin.tosspayments.com,https://admin.tosspayments.com,Success,200
aic.shinhancard.com,http://aic.shinhancard.com,Connection Error,N/A
a2p.korcdm.samsung.com,http://a2p.korcdm.samsung.com,Success,200
adm.stg.per.shinhancard.com,http://adm.stg.per.shinhancard.com,Connection Error,N/A
a50758.naver.com,http://a50758.naver.com,Connection Error,N/A
a1p.korcdm.samsung.com,http://a1p.korcdm.samsung.com,Success,403
ad.popl.11st.co.kr,http://ad.popl.11st.co.kr,Connection Error,N/A
aiars.hyundaicard.com,http://aiars.hyundaicard.com,Connection Error,N/A
adgate.auction.co.kr,http://adgate.auction.co.kr,Success,200
ai.shinhancard.com,http://ai.shinhancard.com,Connection Error,N/A
ai.auction.co.kr,http://ai.auction.co.kr,Success,403
addimage5.makeshop.co.kr,https://addimage5.makeshop.co.kr,Success,200
adcenter.gmarket.co.kr,http://adcenter.gmarket.co.kr,Connection Error,N/A
abtest.di.atlas.samsung.com,http://abtest.di.atlas.samsung.com,Connection Error,N/A
addimage3.makeshop.co.kr,https://addimage3.makeshop.co.kr,Success,200
admin.pay.naver.com,http://admin.pay.naver.com,Success,200
agency.adoffice.11st.co.kr,https://agency.adoffice.11st.co.kr,Success,200
airsale.11st.co.kr,http://airsale.11st.co.kr,Connection Error,N/A
afs.mgt.11st.co.kr,http://afs.mgt.11st.co.kr,Connection Error,N/A
adcr.naver.com,http://adcr.naver.com,Success,403
account.samsung.com,https://account.samsung.com,Success,200
admin.blog.naver.com,http://admin.blog.naver.com,Success,404
afs-mgt.11st.co.kr,http://afs-mgt.11st.co.kr,Connection Error,N/A
adm.dop.wallet.samsung.com,http://adm.dop.wallet.samsung.com,Connection Error,N/A
24mall.shinsegaemall.ssg.com,http://24mall.shinsegaemall.ssg.com,Connection Error,N/A
a50752.naver.com,http://a50752.naver.com,Connection Error,N/A
afc.nonghyup.com,http://afc.nonghyup.com,Connection Error,N/A
acct.naver.com,https://acct.naver.com,Success,200
1004yo.img36.makeshop.co.kr,http://1004yo.img36.makeshop.co.kr,Success,403
a50760.naver.com,http://a50760.naver.com,Connection Error,N/A
airmode.auction.co.kr,http://airmode.auction.co.kr,Connection Error,N/A
airmode.gmarket.co.kr,http://airmode.gmarket.co.kr,Connection Error,N/A
airlotte.auction.co.kr,http://airlotte.auction.co.kr,Success,200
airlotte.gmarket.co.kr,http://airlotte.gmarket.co.kr,Success,200
air.auction.co.kr,https://air.auction.co.kr,Success,200
ads-partners.coupang.com,https://ads-partners.coupang.com,Success,200
akatest.coupang.com,http://akatest.coupang.com,Connection Error,N/A
air.gmarket.co.kr,https://air.gmarket.co.kr,Success,200
adcenter.auction.co.kr,https://adcenter.auction.co.kr,Success,200
alk.naver.com,http://alk.naver.com,Connection Error,N/A
allcb.samsungcard.com,http://allcb.samsungcard.com,Connection Error,N/A
ads.coupang.com,https://ads.coupang.com,Success,200
allshareplay.samsung.com,http://allshareplay.samsung.com,Connection Error,N/A
airjeju.gmarket.co.kr,http://airjeju.gmarket.co.kr,Success,200
airs.kbcard.com,https://airs.kbcard.com,Success,200
aisdk.developer.samsung.com,http://aisdk.developer.samsung.com,Success,403
allthat.bo.be.aws.shinhancard.com,http://allthat.bo.be.aws.shinhancard.com,Connection Error,N/A
allonebank.nonghyup.com,http://allonebank.nonghyup.com,Connection Error,N/A
airprivia.auction.co.kr,https://airprivia.auction.co.kr,Success,200
allthat.be.dev.aws.shinhancard.com,http://allthat.be.dev.aws.shinhancard.com,Connection Error,N/A
ads.hyundaicard.com,https://ads.hyundaicard.com,Success,200
allthat.bo.be.dev.aws.shinhancard.com,http://allthat.bo.be.dev.aws.shinhancard.com,Connection Error,N/A
airsolution.mkt.samsung.com,https://airsolution.mkt.samsung.com,Success,200
allthat.dev.aws.shinhancard.com,http://allthat.dev.aws.shinhancard.com,Connection Error,N/A
allthat.bo.be.stg.aws.shinhancard.com,http://allthat.bo.be.stg.aws.shinhancard.com,Connection Error,N/A
allthat.evt.dev.aws.shinhancard.com,http://allthat.evt.dev.aws.shinhancard.com,Connection Error,N/A
aldic.naver.com,https://aldic.naver.com,Success,200
allthatadm.aws.shinhancard.com,http://allthatadm.aws.shinhancard.com,Connection Error,N/A
allthatadm.dev.aws.shinhancard.com,http://allthatadm.dev.aws.shinhancard.com,Connection Error,N/A
allthatadm.stg.aws.shinhancard.com,http://allthatadm.stg.aws.shinhancard.com,Connection Error,N/A
allcb-v.samsungcard.com,https://allcb-v.samsungcard.com,Success,503
advertising.coupang.com,https://advertising.coupang.com,Success,200
allthatcdn.dev.aws.shinhancard.com,http://allthatcdn.dev.aws.shinhancard.com,Connection Error,N/A
allthat.stg.aws.shinhancard.com,http://allthat.stg.aws.shinhancard.com,Connection Error,N/A
allthatapi.shinhancard.com,http://allthatapi.shinhancard.com,Success,403
allthatdev.aws.shinhancard.com,http://allthatdev.aws.shinhancard.com,Connection Error,N/A
allthat.shinhancard.com,http://allthat.shinhancard.com,Connection Error,N/A
allthat.aws.shinhancard.com,https://allthat.aws.shinhancard.com,Success,200
alim.gmarket.co.kr,https://alim.gmarket.co.kr,Success,200
allthatpt.dev.aws.shinhancard.com,http://allthatpt.dev.aws.shinhancard.com,Connection Error,N/A
allthatsearch.aws.shinhancard.com,http://allthatsearch.aws.shinhancard.com,Connection Error,N/A
allthatsearch.dev.aws.shinhancard.com,http://allthatsearch.dev.aws.shinhancard.com,Connection Error,N/A
allthatcp.shinhancard.com,http://allthatcp.shinhancard.com,Connection Error,N/A
allthat.be.aws.shinhancard.com,https://allthat.be.aws.shinhancard.com,Success,200
allthatimages.shinhancard.com,http://allthatimages.shinhancard.com,Success,200
allthatsearch.stg.aws.shinhancard.com,http://allthatsearch.stg.aws.shinhancard.com,Connection Error,N/A
allthatimage.shinhancard.com,http://allthatimage.shinhancard.com,Success,200
allthatcdn.aws.shinhancard.com,https://allthatcdn.aws.shinhancard.com,Success,403
alpha-ace.naver.com,http://alpha-ace.naver.com,Connection Error,N/A
allthat.be.stg.aws.shinhancard.com,https://allthat.be.stg.aws.shinhancard.com,Success,200
alpha-api.game.naver.com,http://alpha-api.game.naver.com,Connection Error,N/A
alpha-api.gdp.game.naver.com,http://alpha-api.gdp.game.naver.com,Connection Error,N/A
alpha-appcenter.toss.im,http://alpha-appcenter.toss.im,Connection Error,N/A
allthat.evt.aws.shinhancard.com,https://allthat.evt.aws.shinhancard.com,Success,200
alpha-bill.naver.com,http://alpha-bill.naver.com,Connection Error,N/A
allthatpt.aws.shinhancard.com,https://allthatpt.aws.shinhancard.com,Success,200
allthat.evt.stg.aws.shinhancard.com,https://allthat.evt.stg.aws.shinhancard.com,Success,200
allthatcdn.stg.aws.shinhancard.com,https://allthatcdn.stg.aws.shinhancard.com,Success,403
alp-apis.11st.co.kr,http://alp-apis.11st.co.kr,Success,404
allthatpt.stg.aws.shinhancard.com,https://allthatpt.stg.aws.shinhancard.com,Success,200
alpha-bbq-aid.payco.com,http://alpha-bbq-aid.payco.com,Connection Error,N/A
alpha-cc.naver.com,http://alpha-cc.naver.com,Connection Error,N/A
alpha-checkout.naver.com,http://alpha-checkout.naver.com,Connection Error,N/A
alpha-billx.naver.com,http://alpha-billx.naver.com,Success,200
adn-stg.yourservice.samsung.com,https://adn-stg.yourservice.samsung.com,Success,404
alpha-id.payco.com,http://alpha-id.payco.com,Connection Error,N/A
alpha-inoti.naver.com,http://alpha-inoti.naver.com,Connection Error,N/A
alpha-bill.payco.com,http://alpha-bill.payco.com,Success,404
alpha-lcs.naver.com,http://alpha-lcs.naver.com,Connection Error,N/A
alpha-api-pos-membership.payco.com,https://alpha-api-pos-membership.payco.com,Success,200
alpha-m.help.pay.naver.com,http://alpha-m.help.pay.naver.com,Connection Error,N/A
alpha-m.pay.naver.com,http://alpha-m.pay.naver.com,Connection Error,N/A
alpha-mts.naver.com,http://alpha-mts.naver.com,Connection Error,N/A
alpha-mydata2.payco.com,http://alpha-mydata2.payco.com,Connection Error,N/A
alpha-external-app-api.pay.naver.com,http://alpha-external-app-api.pay.naver.com,Success,200
alpha-pay.naver.com,http://alpha-pay.naver.com,Connection Error,N/A
akamai-test.coupang.com,https://akamai-test.coupang.com,Success,503
alpha-vn.toss.im,http://alpha-vn.toss.im,Connection Error,N/A
alpha-campus.payco.com,https://alpha-campus.payco.com,Success,404
alp-insight.11st.co.kr,https://alp-insight.11st.co.kr,Success,200
3f.hyundaicard.com,http://3f.hyundaicard.com,Connection Error,N/A
a.hyundaicard.com,http://a.hyundaicard.com,Connection Error,N/A
alpha.api.bill.naver.com,http://alpha.api.bill.naver.com,Connection Error,N/A
alpha-magazine.payco.com,https://alpha-magazine.payco.com,Success,200
alpha.help.admin.checkout.naver.com,http://alpha.help.admin.checkout.naver.com,Connection Error,N/A
alpha.help.admin.pay.naver.com,http://alpha.help.admin.pay.naver.com,Connection Error,N/A
alpha.help.checkout.naver.com,http://alpha.help.checkout.naver.com,Connection Error,N/A
about.hyundaicard.com,http://about.hyundaicard.com,Connection Error,N/A
alpha.help.pay.naver.com,http://alpha.help.pay.naver.com,Connection Error,N/A
alpha.help.sell.storefarm.naver.com,http://alpha.help.sell.storefarm.naver.com,Connection Error,N/A
alpha.external-web.toss.im,https://alpha.external-web.toss.im,Success,403
alpha.searchad.help.naver.com,http://alpha.searchad.help.naver.com,Connection Error,N/A
alpha.qr.naver.com,http://alpha.qr.naver.com,Connection Error,N/A
alpha.help.shopping.naver.com,http://alpha.help.shopping.naver.com,Connection Error,N/A
alpha.sell.storefarm.naver.com,http://alpha.sell.storefarm.naver.com,Connection Error,N/A
acs3ds2.hyundaicard.com,http://acs3ds2.hyundaicard.com,Success,404
alpha2-pay.naver.com,http://alpha2-pay.naver.com,Connection Error,N/A
alpha2.sell.storefarm.naver.com,http://alpha2.sell.storefarm.naver.com,Connection Error,N/A
alpha.tosspayments.com,https://alpha.tosspayments.com,Success,200
altus.coupang.com,http://altus.coupang.com,Connection Error,N/A
alpha-www.game.naver.com,http://alpha-www.game.naver.com,Too Many Redirects,N/A
advice.hyundaicard.com,http://advice.hyundaicard.com,Connection Error,N/A
alpha.toss.im,https://alpha.toss.im,Success,200
a.dns2.naver.com,http://a.dns2.naver.com,Connection Error,N/A
aml-test.lotteon.com,http://aml-test.lotteon.com,Connection Error,N/A
a51506.naver.com,http://a51506.naver.com,Connection Error,N/A
a51507.naver.com,http://a51507.naver.com,Connection Error,N/A
amlapi-test.lotteon.com,http://amlapi-test.lotteon.com,Connection Error,N/A
americas.business.samsung.com,http://americas.business.samsung.com,Success,404
accesscontroluat.citibank.co.kr,http://accesscontroluat.citibank.co.kr,Connection Error,N/A
ams.rmcnmv.naver.com,http://ams.rmcnmv.naver.com,Connection Error,N/A
accesscontrol.citibank.co.kr,http://accesscontrol.citibank.co.kr,Connection Error,N/A
acs1.lottecard.co.kr,http://acs1.lottecard.co.kr,Connection Error,N/A
analytics.adoffice.11st.co.kr,http://analytics.adoffice.11st.co.kr,Success,404
analytics.dev.mpay.samsung.com,http://analytics.dev.mpay.samsung.com,Connection Error,N/A
analytics.mpay.samsung.com,http://analytics.mpay.samsung.com,Connection Error,N/A
analytics.bigdata.samsung.com,https://analytics.bigdata.samsung.com,Success,200
amtour.auction.co.kr,http://amtour.auction.co.kr,Success,200
analytics.naver.com,https://analytics.naver.com,Success,200
andeok.nonghyup.com,https://andeok.nonghyup.com,Success,200
ansim.hyundaicard.com,http://ansim.hyundaicard.com,Connection Error,N/A
ansimclick.hyundaicard.com,http://ansimclick.hyundaicard.com,Connection Error,N/A
agency.booking.naver.com,http://agency.booking.naver.com,Connection Error,N/A
accountapp3.hyundaicard.com,http://accountapp3.hyundaicard.com,Connection Error,N/A
aoai.genai.shinhancard.com,http://aoai.genai.shinhancard.com,Connection Error,N/A
anheung.nonghyup.com,https://anheung.nonghyup.com,Success,200
ap.11st.co.kr,http://ap.11st.co.kr,Connection Error,N/A
alpha-doota-mall-aid.payco.com,http://alpha-doota-mall-aid.payco.com,Connection Error,N/A
alpha-cafeartisee-aid.payco.com,http://alpha-cafeartisee-aid.payco.com,Connection Error,N/A
alpha-coffeebay-aid.payco.com,http://alpha-coffeebay-aid.payco.com,Connection Error,N/A
am-images.shop.samsung.com,https://am-images.shop.samsung.com,Success,403
ap-author.semiconductor.samsung.com,https://ap-author.semiconductor.samsung.com,Success,401
apc.hyundaicard.com,http://apc.hyundaicard.com,Connection Error,N/A
apchina.disaster-device.ssp.samsung.com,http://apchina.disaster-device.ssp.samsung.com,Connection Error,N/A
apac.business.samsung.com,http://apac.business.samsung.com,Success,404
anypath.sec.samsung.com,http://anypath.sec.samsung.com,Connection Error,N/A
api-blog.blog.naver.com,http://api-blog.blog.naver.com,Success,404
100.naver.com,http://100.naver.com,Timeout,N/A
11payp.11st.co.kr,http://11payp.11st.co.kr,Timeout,N/A
12app.naver.com,http://12app.naver.com,Timeout,N/A
11pay.11st.co.kr,http://11pay.11st.co.kr,Timeout,N/A
a11ybooth.naver.com,http://a11ybooth.naver.com,Timeout,N/A
a51021.naver.com,http://a51021.naver.com,Timeout,N/A
a51174.naver.com,http://a51174.naver.com,Timeout,N/A
a51178.naver.com,http://a51178.naver.com,Timeout,N/A
a51183.naver.com,http://a51183.naver.com,Timeout,N/A
a51180.naver.com,http://a51180.naver.com,Timeout,N/A
a51177.naver.com,http://a51177.naver.com,Timeout,N/A
a51182.naver.com,http://a51182.naver.com,Timeout,N/A
api-gateway-stage.coupang.com,http://api-gateway-stage.coupang.com,Connection Error,N/A
a51195.naver.com,http://a51195.naver.com,Timeout,N/A
a51193.naver.com,http://a51193.naver.com,Timeout,N/A
a51192.naver.com,http://a51192.naver.com,Timeout,N/A
a51196.naver.com,http://a51196.naver.com,Timeout,N/A
a51179.naver.com,http://a51179.naver.com,Timeout,N/A
a51201.naver.com,http://a51201.naver.com,Timeout,N/A
a51194.naver.com,http://a51194.naver.com,Timeout,N/A
a51199.naver.com,http://a51199.naver.com,Timeout,N/A
a51469.naver.com,http://a51469.naver.com,Timeout,N/A
a51466.naver.com,http://a51466.naver.com,Timeout,N/A
api-express.hanpass.com,https://api-express.hanpass.com,Success,403
a51467.naver.com,http://a51467.naver.com,Timeout,N/A
a51476.naver.com,http://a51476.naver.com,Timeout,N/A
a51465.naver.com,http://a51465.naver.com,Timeout,N/A
a51232.naver.com,http://a51232.naver.com,Timeout,N/A
a51210.naver.com,http://a51210.naver.com,Timeout,N/A
a51475.naver.com,http://a51475.naver.com,Timeout,N/A
a51248.naver.com,http://a51248.naver.com,Timeout,N/A
a51464.naver.com,http://a51464.naver.com,Timeout,N/A
aam.bo.11st.co.kr,http://aam.bo.11st.co.kr,Timeout,N/A
a51185.naver.com,http://a51185.naver.com,Timeout,N/A
api.aws.shinhancard.com,http://api.aws.shinhancard.com,Connection Error,N/A
a51477.naver.com,http://a51477.naver.com,Timeout,N/A
ac.nonghyup.com,http://ac.nonghyup.com,Timeout,N/A
api-gw.sports.naver.com,http://api-gw.sports.naver.com,Success,404
api-moment.blog.naver.com,http://api-moment.blog.naver.com,Success,404
api-dev.coinshot.org,https://api-dev.coinshot.org,Success,404
api-recommender.bigdata.samsung.com,http://api-recommender.bigdata.samsung.com,Success,403
acs.hanacard.co.kr,http://acs.hanacard.co.kr,Timeout,N/A
api-guestbook.blog.naver.com,http://api-guestbook.blog.naver.com,Success,404
acs.lottecard.co.kr,http://acs.lottecard.co.kr,Timeout,N/A
api-deus.toss.im,https://api-deus.toss.im,Success,404
acs.samsungcard.com,http://acs.samsungcard.com,Timeout,N/A
api.appnotice.naver.com,http://api.appnotice.naver.com,Success,404
acsfront.auction.co.kr,http://acsfront.auction.co.kr,Timeout,N/A
api.bill.naver.com,http://api.bill.naver.com,Success,403
acs.safekey.lottecard.co.kr,http://acs.safekey.lottecard.co.kr,Timeout,N/A
api.11st.co.kr,http://api.11st.co.kr,Success,200
acs.wooricard.com,http://acs.wooricard.com,Timeout,N/A
api.biz-catcher.naver.com,http://api.biz-catcher.naver.com,Success,404
api.dev.per.shinhancard.com,http://api.dev.per.shinhancard.com,Connection Error,N/A
api.bunjang.co.kr,http://api.bunjang.co.kr,Success,403
acsm.hyundaicard.com,http://acsm.hyundaicard.com,Timeout,N/A
api.booking.naver.com.io.naver.com,http://api.booking.naver.com.io.naver.com,Success,404
api.auction.co.kr,http://api.auction.co.kr,Success,403
api.cfpd.bdp.samsung.com,http://api.cfpd.bdp.samsung.com,Connection Error,N/A
api.m.ssg.com,http://api.m.ssg.com,Connection Error,N/A
api.band.naver.com,http://api.band.naver.com,Success,404
api.booking.naver.com,http://api.booking.naver.com,Success,403
api.cloud.naver.com,http://api.cloud.naver.com,Success,404
api.blog.naver.com,http://api.blog.naver.com,Success,200
api.dev.aws.shinhancard.com,http://api.dev.aws.shinhancard.com,Connection Error,N/A
api.memo.naver.com,http://api.memo.naver.com,Connection Error,N/A
api.checkout.naver.com,http://api.checkout.naver.com,Success,404
api.contact.naver.com.io.naver.com,http://api.contact.naver.com.io.naver.com,Success,404
api.happybean.naver.com,http://api.happybean.naver.com,Success,404
adcms.naver.com,http://adcms.naver.com,Timeout,N/A
api.makeshop.co.kr,http://api.makeshop.co.kr,Success,200
api.nid.naver.com,http://api.nid.naver.com,Connection Error,N/A
api.nstamp.naver.com,http://api.nstamp.naver.com,Connection Error,N/A
api.point.joongna.com,http://api.point.joongna.com,Connection Error,N/A
api.mop.apps.samsung.com,http://api.mop.apps.samsung.com,Success,403
api.game.naver.com,http://api.game.naver.com,Success,404
adbo.11st.co.kr,http://adbo.11st.co.kr,Timeout,N/A
api.monimo.com,http://api.monimo.com,Connection Error,N/A
api.prd.aws.shinhancard.com,http://api.prd.aws.shinhancard.com,Connection Error,N/A
api.kcp.co.kr,http://api.kcp.co.kr,Success,403
api.tools.naver.com,http://api.tools.naver.com,Connection Error,N/A
api.stg.per.shinhancard.com,http://api.stg.per.shinhancard.com,Connection Error,N/A
api.chzzk.naver.com,http://api.chzzk.naver.com,Connection Error,N/A
api.se2.naver.com,http://api.se2.naver.com,Success,404
api-shopping-kitcat.io.naver.com,https://api-shopping-kitcat.io.naver.com,Success,404
admin.checkout.naver.com,http://admin.checkout.naver.com,Timeout,N/A
adm-iprprt.11st.co.kr,http://adm-iprprt.11st.co.kr,Timeout,N/A
api.stg.aws.shinhancard.com,http://api.stg.aws.shinhancard.com,Connection Error,N/A
api.ogqmarket.naver.com,http://api.ogqmarket.naver.com,Success,404
api.mobilecore.naver.com,http://api.mobilecore.naver.com,Success,404
api.mobilecore.naver.com.io.naver.com,http://api.mobilecore.naver.com.io.naver.com,Success,404
admanager.makeshop.co.kr,http://admanager.makeshop.co.kr,Timeout,N/A
api.coinshot.org,https://api.coinshot.org,Success,404
api.channel-plugin.naver.com,https://api.channel-plugin.naver.com,Success,404
api3.makeshop.co.kr,http://api3.makeshop.co.kr,Success,200
apipotal.wooricard.com,http://apipotal.wooricard.com,Connection Error,N/A
api.joongna.com,https://api.joongna.com,Success,404
api.naver.com,https://api.naver.com,Success,404
api.searchad.naver.com,https://api.searchad.naver.com,Success,404
api2.11st.co.kr,http://api2.11st.co.kr,Success,200
api.scopic.naver.com,https://api.scopic.naver.com,Success,403
admin.ds.11st.co.kr,http://admin.ds.11st.co.kr,Timeout,N/A
admin.gmarket.co.kr,http://admin.gmarket.co.kr,Timeout,N/A
api.contact.naver.com,https://api.contact.naver.com,Success,401
apis.bunjang.co.kr,http://apis.bunjang.co.kr,Success,403
apis.11st.co.kr,http://apis.11st.co.kr,Success,404
app-api.pay.naver.com,http://app-api.pay.naver.com,Success,200
api-public.toss.im,https://api-public.toss.im,Success,200
app-tracking-gfa-collector-stg.naver.com,http://app-tracking-gfa-collector-stg.naver.com,Success,404
app-tracking-gfa-collector.naver.com,http://app-tracking-gfa-collector.naver.com,Success,404
apiportal.wooricard.com,http://apiportal.wooricard.com,Connection Error,N/A
api.playnet.naver.com,http://api.playnet.naver.com,Connection Error,N/A
app.citibank.co.kr,http://app.citibank.co.kr,Connection Error,N/A
api.payapp.kr,https://api.payapp.kr,Success,200
admo.11st.co.kr,http://admo.11st.co.kr,Timeout,N/A
app.music.naver.com,http://app.music.naver.com,Connection Error,N/A
app.makeshop.co.kr,http://app.makeshop.co.kr,Success,403
apis.samsungcard.com,https://apis.samsungcard.com,Success,200
app.nbooks.naver.com,http://app.nbooks.naver.com,Success,404
appauth.naver.com,http://appauth.naver.com,Connection Error,N/A
appcard.shinhancard.com,http://appcard.shinhancard.com,Connection Error,N/A
api-gateway.coupang.com,https://api-gateway.coupang.com,Success,200
api.semiconductor.samsung.com,https://api.semiconductor.samsung.com,Success,404
apis.naver.com,https://apis.naver.com,Success,200
appauth.11st.co.kr,http://appauth.11st.co.kr,Success,404
appcardapp.hyundaicard.com,http://appcardapp.hyundaicard.com,Connection Error,N/A
appapi.payco.com,http://appapi.payco.com,Success,404
adns2.naver.com,http://adns2.naver.com,Timeout,N/A
app.hyundaicard.com,http://app.hyundaicard.com,Connection Error,N/A
app.calendar.naver.com,https://app.calendar.naver.com,Success,200
app.mail.naver.com,https://app.mail.naver.com,Success,200
appdev.11st.co.kr,http://appdev.11st.co.kr,Connection Error,N/A
appdev.naver.com,http://appdev.naver.com,Connection Error,N/A
appdown.shinhancard.com,http://appdown.shinhancard.com,Connection Error,N/A
app.cloud.naver.com,https://app.cloud.naver.com,Success,200
appfactory.naver.com,http://appfactory.naver.com,Connection Error,N/A
app-card.lottecard.co.kr,https://app-card.lottecard.co.kr,Success,200
appcard.samsungcard.com,https://appcard.samsungcard.com,Success,404
apis.adoffice.11st.co.kr,https://apis.adoffice.11st.co.kr,Success,200
app-dev.tosspayments.com,https://app-dev.tosspayments.com,Success,404
app.tosspayments.com,https://app.tosspayments.com,Success,200
appr.11st.co.kr,http://appr.11st.co.kr,Connection Error,N/A
apps.naver.com,http://apps.naver.com,Connection Error,N/A
apply.kcp.co.kr,http://apply.kcp.co.kr,Success,403
api.lotteon.com,https://api.lotteon.com,Success,200
appro.hyundaicard.com,http://appro.hyundaicard.com,Success,200
adscriptdev.gmarket.co.kr,http://adscriptdev.gmarket.co.kr,Timeout,N/A
advertiser.da.naver.com,http://advertiser.da.naver.com,Timeout,N/A
adns1.naver.com,http://adns1.naver.com,Timeout,N/A
appstore.naver.com,http://appstore.naver.com,Connection Error,N/A
apps.ssg.com,http://apps.ssg.com,Connection Error,N/A
appmpoint.hyundaicard.com,http://appmpoint.hyundaicard.com,Connection Error,N/A
